trip_id,payment_type,amount,tip
1,Card,81.84,40.58
2,Card,291.36,0.71
3,Wallet,281.52,45.21
4,UPI,364.56,16.69
5,UPI,41.4,0.0
6,Wallet,126.14,18.35
7,Wallet,282.53,30.82
8,UPI,42.24,0.0
9,UPI,719.04,20.68
10,Wallet,390.24,11.61
11,UPI,173.16,0.0
12,Wallet,173.52,8.42
13,Card,388.08,46.99
14,UPI,380.52,45.64
15,UPI,342.72,27.31
16,Wallet,299.23,0.0
17,Card,522.48,21.32
18,Card,292.32,45.28
19,Card,225.6,4.46
20,Card,338.16,0.0
21,Card,312.84,14.92
22,Card,237.46,7.25
23,Wallet,62.46,1.23
24,UPI,587.76,31.96
25,Card,379.44,45.59
26,UPI,347.94,0.0
27,UPI,211.68,0.0
28,Wallet,361.68,49.94
29,UPI,422.46,37.78
30,Wallet,27.6,5.32
31,Wallet,333.07,41.26
32,Wallet,305.16,0.0
33,UPI,299.16,23.07
34,UPI,103.82,2.07
35,Card,338.76,39.98
36,UPI,104.76,4.09
37,Wallet,405.84,43.22
38,Wallet,27.24,37.68
39,UPI,488.52,30.61
40,Card,312.0,27.86
41,Wallet,38.76,0.0
42,Card,404.64,18.32
43,UPI,261.6,20.88
44,UPI,326.59,0.0
45,Card,136.2,42.95
46,UPI,356.64,21.28
47,Card,195.12,43.75
48,UPI,118.8,45.84
49,Wallet,275.28,42.19
50,Card,260.82,17.34
51,UPI,387.18,0.0
52,Wallet,22.14,28.41
53,UPI,178.44,39.38
54,UPI,45.5,0.0
55,Wallet,285.98,0.0
56,UPI,514.62,6.39
57,UPI,107.04,0.0
58,Wallet,373.32,49.7
59,UPI,55.92,0.0
60,Card,116.52,7.98
61,UPI,85.56,0.0
62,Wallet,230.16,9.65
63,Wallet,343.26,21.32
64,UPI,594.96,0.0
65,UPI,97.02,37.09
66,Card,157.68,39.91
67,Wallet,684.72,4.67
68,UPI,244.8,36.85
69,Card,138.6,0.0
70,UPI,78.96,35.28
71,Card,406.94,42.59
72,UPI,688.32,31.41
73,UPI,718.08,8.97
74,Wallet,226.94,0.0
75,Card,67.44,17.0
76,Card,619.92,21.83
77,Wallet,198.72,12.02
78,Card,256.14,22.61
79,Card,100.94,40.08
80,Card,175.56,0.0
81,UPI,458.1,29.09
82,Wallet,220.68,42.3
83,UPI,616.32,37.58
84,Card,414.0,28.0
85,UPI,187.74,41.29
86,Card,206.4,35.35
87,UPI,165.24,7.33
88,Wallet,518.16,45.1
89,Card,538.74,0.0
90,Card,181.01,0.0
91,Card,222.48,8.63
92,Wallet,410.54,0.0
93,UPI,656.64,8.67
94,Card,128.45,47.67
95,Card,109.2,0.0
96,UPI,434.16,2.63
97,Card,90.0,33.59
98,Wallet,263.16,9.65
99,UPI,391.68,19.44
100,Wallet,190.08,0.0
101,Wallet,70.38,7.64
102,Wallet,122.4,0.0
103,Card,370.8,0.0
104,Wallet,627.84,46.33
105,UPI,78.36,13.57
106,Card,241.92,10.85
107,Card,269.52,18.23
108,Wallet,424.32,27.2
109,Wallet,19.87,39.41
110,UPI,101.38,48.27
111,UPI,107.28,18.51
112,UPI,420.66,27.96
113,Wallet,201.6,38.59
114,Card,561.12,38.75
115,Card,152.04,19.06
116,UPI,229.68,0.0
117,Wallet,166.46,9.69
118,UPI,117.96,0.0
119,Wallet,311.58,0.0
120,Card,407.7,0.0
121,Wallet,405.18,0.0
122,UPI,50.4,35.11
123,Card,408.0,22.42
124,Card,202.44,0.0
125,Wallet,54.12,6.98
126,Card,378.58,34.59
127,UPI,79.92,41.38
128,Card,452.52,9.35
129,Wallet,50.69,0.0
130,Card,691.92,15.99
131,UPI,119.52,7.42
132,Wallet,109.2,42.98
133,Wallet,139.92,0.0
134,Card,450.9,0.0
135,Card,130.03,20.74
136,Card,70.13,37.32
137,UPI,123.6,34.18
138,UPI,526.08,4.59
139,UPI,197.28,25.95
140,Wallet,106.38,19.3
141,Card,293.62,25.89
142,Wallet,220.56,0.0
143,UPI,66.24,45.22
144,Card,91.58,32.08
145,Wallet,169.68,0.0
146,UPI,395.76,0.0
147,Card,306.0,4.56
148,UPI,377.04,20.64
149,Wallet,48.48,0.0
150,Card,189.9,24.02
151,UPI,67.1,15.17
152,UPI,24.96,37.75
153,UPI,89.76,48.09
