driver_id,city,vehicle_type,join_date,rating,experience_years
1,Kolkata,SUV,2023-04-21,3.91,0
2,Mumbai,Auto,2022-12-13,3.97,1
3,Delhi,Mini,2021-08-04,4.11,3
4,Hyderabad,Mini,2021-05-09,4.81,5
5,Pune,SUV,2022-10-29,4.76,6
6,Pune,Auto,2021-05-19,4.38,3
7,Bangalore,Sedan,2021-04-27,3.85,2
8,Bangalore,Sedan,2021-08-07,4.02,5
9,Pune,SUV,2022-04-05,4.39,8
10,Hyderabad,SUV,2022-06-02,4.74,2
11,Mumbai,Mini,2021-08-09,4.81,5
12,Hyderabad,Sedan,2023-12-01,3.97,2
13,Hyderabad,Bike,2023-05-10,4.43,5
14,Delhi,Auto,2021-04-28,4.86,9
15,Pune,SUV,2023-10-10,4.78,8
16,Hyderabad,Auto,2021-07-16,4.89,10
17,Hyderabad,Sedan,2022-02-01,4.74,0
18,Pune,Sedan,2023-08-13,4.11,8
19,Kolkata,SUV,2021-11-06,4.72,2
20,Chennai,Auto,2022-06-29,4.09,1
21,Delhi,Bike,2021-10-15,4.98,9
22,Hyderabad,SUV,2021-06-16,4.53,1
23,Delhi,Bike,2023-08-14,4.32,5
24,Bangalore,Auto,2021-12-30,4.04,1
25,Kolkata,Mini,2022-09-29,4.5,4
26,Hyderabad,SUV,2021-09-03,4.17,6
27,Mumbai,SUV,2022-08-17,4.14,1
28,Delhi,SUV,2023-02-24,4.25,10
29,Hyderabad,Bike,2021-08-14,4.58,7
30,Bangalore,Bike,2023-07-13,4.18,9
31,Hyderabad,Sedan,2023-04-19,3.97,3
32,Mumbai,Auto,2021-08-25,4.07,3
33,Mumbai,Mini,2022-12-13,4.94,4
34,Bangalore,Sedan,2022-03-14,4.89,8
35,Hyderabad,Sedan,2021-12-08,3.89,1
36,Delhi,SUV,2023-01-18,4.25,7
37,Delhi,Bike,2021-04-27,4.96,3
38,Mumbai,Sedan,2023-04-14,3.81,6
39,Pune,Bike,2023-07-14,4.56,0
40,Bangalore,Bike,2022-04-23,3.89,4
